,COUNTRY,YEAR,HEALTH_EXPENDITURE_PER_CAPITA,LIFE_EXPECTANCY_AT_BIRTH,GOV_DEBT_PCT_OF_GDP,GDP_PER_CAPITA,IMPORTS_PCT_OF_GDP,GOV_ED_SPEND_PCT_GDP,CHAOS
1,Afghanistan,1961,NA,32.0959756098,NA,59.8900370439,8.0971664262,NA,95
2,Argentina,1961,NA,65.3385121951,NA,NA,5.9949453162,NA,30
3,Australia,1961,NA,70.9731707317,NA,1873.4500915663,15.0319343066,NA,50
4,Austria,1961,NA,69.5773170732,NA,1031.8150043291,21.9019072758,NA,95
5,Burundi,1961,NA,41.5454634146,NA,71.4694334375,14.6551729913,NA,10
6,Belgium,1961,NA,70.5209756098,NA,1350.1976733312,39.8052974165,NA,36
7,Benin,1961,NA,37.731195122,NA,95.5669226667,9.5346321365,NA,17
8,Burkina Faso,1961,NA,34.9386341463,NA,71.5582093322,15.789976401,NA,80
9,Bangladesh,1961,NA,47.608902439,NA,97.1411474899,11.6999989682,NA,52
10,Bolivia,1961,NA,42.9768780488,NA,162.695618995,17.7163514019,NA,11
11,Brazil,1961,NA,55.1696341463,NA,NA,7.3394590708,NA,68
12,Botswana,1961,NA,50.8931463415,NA,61.3195387723,42.5255046714,NA,92
13,Central African Republic,1961,NA,36.8957073171,NA,80.5206966829,35.7615888119,NA,26
14,Canada,1961,NA,71.346097561,NA,2231.2938237478,18.0517669286,NA,26
15,Switzerland,1961,NA,71.6448780488,NA,1971.3163227923,28.6432865118,NA,90
16,Chile,1961,NA,57.4086829268,NA,575.3243005679,16.0552299912,NA,3
17,China,1961,NA,43.7807560976,NA,75.805837926,3.5245901639,NA,7
18,Cote d'Ivoire,1961,NA,37.5630731707,NA,171.6359707173,28.1035365256,NA,4
19,"Congo, Rep.",1961,NA,49.2300487805,NA,145.8468249545,83.6612020871,NA,25
20,Colombia,1961,NA,57.2477317073,NA,268.0974022797,13.7919301005,NA,79
21,Costa Rica,1961,NA,62.1777073171,NA,354.8144477352,25.3985703823,NA,62
22,Denmark,1961,NA,72.4382926829,NA,1503.5370134282,32.3423402312,NA,82
23,Dominican Republic,1961,NA,52.5782439024,NA,192.0266541487,16.3430618122,NA,1
24,Algeria,1961,NA,46.5903170732,NA,213.4850477944,67.5037710394,NA,40
25,Ecuador,1961,NA,53.7607560976,NA,209.3518355376,20.4541993846,NA,49
26,Euro area,1961,NA,69.6359632435,NA,1008.5293251144,18.4522721076,NA,50
27,Spain,1961,NA,69.4804878049,NA,450.053289247,8.6015017625,NA,72
28,European Union,1961,NA,69.5891624203,NA,946.2942946072,19.2981944108,NA,44
29,Finland,1961,NA,68.8441463415,NA,1327.427224366,21.3817561912,NA,33
30,Fiji,1961,NA,56.3927317073,NA,287.3319667194,40.796555436,NA,92
31,France,1961,NA,70.1170731707,NA,1440.5543303289,12.3388102553,NA,40
32,Gabon,1961,NA,39.9152195122,NA,332.5001038961,31.6628120291,NA,13
33,United Kingdom,1961,NA,70.8780487805,NA,1452.5447090136,20.2398907738,NA,51
34,Ghana,1961,NA,46.2667073171,NA,189.7132145619,36.4516129032,NA,73
35,Greece,1961,NA,68.5486341463,NA,597.2873210123,15.8644712267,NA,85
36,Guatemala,1961,NA,46.1039512195,NA,253.9336248999,13.4949394906,NA,55
37,Guyana,1961,NA,58.3627073171,NA,319.308582081,52.9817953547,NA,89
38,High income,1961,NA,68.5386630471,NA,1456.6813157409,13.4839927287,NA,15
39,"Hong Kong SAR, China",1961,NA,67.5793658537,NA,436.7544115204,81.413043643,NA,59
40,Honduras,1961,NA,46.9638780488,NA,172.153391475,21.9258843346,NA,71
41,Indonesia,1961,NA,45.6202926829,NA,NA,12.9032258065,NA,8
42,India,1961,NA,42.112,NA,87.031166145,5.8548994227,NA,87
43,Ireland,1961,NA,69.9041219512,NA,739.2764064427,37.6508341541,NA,75
44,"Iran, Islamic Rep.",1961,NA,45.5089512195,NA,196.9246613003,15.8630960769,NA,43
45,Iceland,1961,NA,73.5034146341,NA,1418.1258697153,38.2828478485,NA,88
46,Israel,1961,NA,72.0065853659,NA,1436.3844393593,11.2155488291,NA,36
47,Italy,1961,NA,69.7602439024,NA,887.3367446045,12.8630473309,NA,2
48,Jamaica,1961,NA,64.7597073171,NA,452.8252600305,34.9979506548,NA,39
49,Japan,1961,NA,68.31,NA,563.5867598388,10.9016397882,NA,33
50,Kenya,1961,NA,47.013,NA,94.8352535525,31.129951747,NA,14
51,Cambodia,1961,NA,41.3338780488,NA,109.4737898943,18.6666669156,NA,88
52,"Korea, Rep.",1961,NA,53.7362439024,NA,91.4806200246,14.9366898955,NA,54
