"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5909004211426","13.0635404586792","12.1936101913452","13.7853698730469","","11.4143199920654","12.2112998962402","","","","","","","","","","","",
"Andorra","AND","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.96417999267578","","8.24258041381836","7.67959022521973","10.0334596633911","10.1961097717285","","15.9406099319458","17.1248893737793","17.5743808746338","","14.7693300247192","13.4683704376221","","",
"Afghanistan","AFG","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3438701629639","","","",
"Arab World","ARB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.87252998352051","","","","","","","","","","","","","11.3259897232056","10.4032201766968","","","","",
"Argentina","ARG","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0050802230835","12.4854898452759","12.3609600067139","13.8731603622437","10.8157796859741","10.5373401641846","9.11215019226074","9.54339981079102","10.2807302474976","11.1578397750854","12.3620300292969","13.1893100738525","12.6877002716064","13.5188302993774","14.0120697021484","14.2484903335571","","","",
"Armenia","ARM","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.2391500473022","11.3394203186035","","","",
"American Samoa","ASM","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.13556957244873","","","","","","","",
"Australia","AUS","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7568893432617","","","","","17.9288692474365","17.7126693725586","17.2870197296143","17.6407299041748","19.9465999603271","22.4116897583008","20.0661106109619","18.2391204833984","18.800350189209","","","",
"Austria","AUT","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.5805206298828","24.4061698913574","22.5191898345947","22.489559173584","22.9068603515625","22.690710067749","22.0940704345703","22.7075901031494","22.7000694274902","22.2969608306885","23.3029594421387","25.2920608520508","25.0089797973633","24.7014503479004","21.9822692871094","23.5110607147217","","","",
"Azerbaijan","AZE","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6419200897217","9.59663963317871","10.7707099914551","11.2868099212646","","15.0078201293945","14.327919960022","","","14.8005599975586","17.6844902038574","15.7790498733521","14.9939403533936","13.0895795822144","12.8099403381348","","","",
"Belgium","BEL","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7548007965088","17.9258899688721","19.2407608032227","19.242639541626","19.3158702850342","19.8260192871094","19.9550094604492","21.856840133667","21.5629806518555","22.4885101318359","22.3440608978271","23.1262702941895","","","","",
"Benin","BEN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0605401992798","12.1735496520996","10.2473201751709","10.1998195648193","10.7823600769043","10.3607902526855","11.5966901779175","","12.0159997940063","13.0399599075317","14.1309604644775","","12.642749786377","11.4580898284912","10.6514301300049","","",
"Burkina Faso","BFA","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3232383728027","29.6245498657227","28.1020908355713","","","18.1451301574707","20.5116405487061","17.3940296173096","18.763069152832","19.9590396881104","","",
"Bangladesh","BGD","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.79486989974976","9.04362010955811","8.52544975280762","7.77560997009277","","","","","","","",
"Bulgaria","BGR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5262699127197","","","15.1227903366089","15.3562898635864","18.0068206787109","11.2256002426147","22.29541015625","21.7473907470703","20.4706192016602","22.6992301940918","22.789400100708","21.7862300872803","19.1453304290771","19.0007801055908","","","","",
"Bahrain","BHR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8765201568604","16.2474193572998","","","","12.4139604568481","13.6942901611328","14.0982599258423","","15.4492502212524","16.0617904663086","18.1805992126465","","14.9844903945923","15.9446697235107","","","",
"Bermuda","BMU","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.4073600769043","10.9219598770142","","","","","11.9679899215698","","","","8.46154022216797","","",
"Bolivia","BOL","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4510297775269","14.2606296539307","12.3844804763794","11.777250289917","15.2867698669434","16.1883106231689","","","13.6284704208374","","18.4103698730469","21.7359409332275","20.7914600372314","18.0881309509277","18.1683807373047","17.0102806091309","","","",
"Brazil","BRA","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6326704025269","10.5774202346802","10.4280004501343","9.86544036865234","","12.8290901184082","15.3802499771118","","17.1718101501465","18.4028797149658","19.9680099487305","20.7989406585693","20.4429607391357","21.4368705749512","","","","",
"Barbados","BRB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4982099533081","14.0398797988892","19.3443298339844","17.7136192321777","19.3181705474854","19.6859893798828","19.0249290466309","","","22.5451393127441","","","","","","","","",
"Brunei Darussalam","BRN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.06037998199463","","","","","","",
"Bhutan","BTN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.15266036987305","10.2939596176147","","","7.31383991241455","9.03267002105713","7.83418989181519","9.56766986846924","","8.20341968536377","13.652379989624","","",
"Botswana","BWA","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.9104194641113","","13.9888296127319","","10.3242998123169","","","","","","","",
"Central African Republic","CAF","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.31457996368408","5.34591007232666","","4.53002977371216","4.47791004180908","","","","","","",
"Canada","CAN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
