"Data Source","World Development Indicators",

"Last Updated Date","2017-03-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8833643391776","5.22975577450032","6.03942830571341","8.43499771421216","9.12365112089795","8.85456809670553","7.47163884629873","7.1583299582327","","","",
"Angola","AGO","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2939716615223","28.7033821587261","29.2466757235017","18.998294155276","21.557078552974","21.6738663013218","22.4037060741824","29.3121328576903","23.212555380315","26.9788751527034","17.0999428087181","16.8673668756193","17.2903175407854","16.4562670709012","15.5244975655881","15.5653501565976","","",
"Albania","ALB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4227682111308","8.55360223473576","9.47929285770968","13.7016325081105","","","","16.1608431324435","16.7908423066934","17.6453594166389","","","","","","","","","16.8396722718928","18.3135520168102","","",
"Arab World","ARB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.992336343973077","1.07587239217888","1.1224470054107","","","","","","","","","","","","0.323387354838659","0.364915024175513","0.37188915114832","0.356766566291218","","",
"Argentina","ARG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83851314669697","5.00823654744009","5.54792213441138","8.01513800555669","8.12643722809198","8.05435765172309","8.17178777492906","8.69008635554994","9.03052618638845","9.07612433559182","9.62260350188905","9.32489879390056","9.81895834666325","12.5187797002949","13.1007798987701","","","","","","","","","","","","",
"Armenia","ARM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9964056466186","14.3356634088462","14.3959865593942","15.962531729107","17.3217587321083","16.5058632327843","17.0700513990102","17.2194190490991","17.4916420766113","","21.5991745525223","","",
"American Samoa","ASM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4050778264703","15.2199490131469","16.2984696717212","16.8938324777594","17.6131163191238","16.8980487688765","18.5198362732834","19.8469976055927","19.0322717193582","17.6030735196058","18.8017892562951","18.07281361787","18.5756007869585","17.1287199109893","17.3435080108348","","",
"Australia","AUS","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","17.8803626465096","17.0572733307852","18.0960919082246","19.9203859733026","20.3487672880337","20.5817696883823","20.4537648360875","19.8159949356404","20.4578788668429","21.5070736567945","21.6294599614828","21.7604765708905","21.0482400423759","22.5500630044614","22.6158080039359","23.2626262979775","23.1675328041871","22.6739570191848","22.4640299342219","22.3562310909683","20.6572292617875","19.992206645524","20.0077151398905","","","","","22.4715151964633","23.0919531183785","24.8164759699442","23.5553260736832","24.3313517833949","24.3299002585545","24.8531069095342","24.5824202483324","24.1114405991897","24.2507052560357","22.0905091067727","20.601605339926","20.4331835479626","21.3181887077931","22.1971118806757","22.1833194705467","","",
"Austria","AUT","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","17.931983652818","18.2408931064355","18.4417671489929","18.0544184361715","17.9054665983519","18.042758041892","18.8228941652148","18.5949115086832","18.6228671284495","18.9955860445222","18.2343469430329","18.0761341380476","19.0098721802402","18.147501345679","18.0157365647897","17.7628748302063","18.6076265063734","17.8487494113392","18.0245042717503","18.211048942849","18.9661699884126","18.9811813765702","18.3898742201645","24.6595108616992","25.9981634275","26.8566384903846","26.9610315041976","26.6844044978641","26.2755579229115","28.0201319716952","27.0270630944887","26.746548029619","26.4005319640975","25.6214308370149","25.1770164891661","25.5386786418169","26.2411254957046","25.3887265016648","25.3905389008154","25.5514364954728","26.0537910050601","26.527452180003","26.6360357317528","27.147088856934","",
"Azerbaijan","AZE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5607090259514","17.9540725466304","9.85031325019029","10.6938776802563","12.6792612959292","12.7335261769287","","","","","","","","","16.4211753684861","14.1067089869809","12.1577769928176","12.2247609538804","12.9558292434485","13.4982550140188","14.2212832625157","","",
"Burundi","BDI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","10.3469088609778","10.6769157211424","8.85599061313257","11.3689251104055","13.4785767337281","14.9653224763885","14.0944867354778","13.0050715550755","11.6093480190153","","","","","","","","","","15.142662979358","15.1227839627811","14.9289163092236","15.6160547727238","16.6782065784591","13.4389965792474","11.4203617269545","14.3476586706647","13.5974418093983","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.485998682518","25.8303603183071","26.3474985694921","26.9469093725265","26.7973925790047","27.0797995523232","26.6400264270374","25.5432259490572","24.9491838456816","25.3762502058848","25.3533123068902","25.16964777977","24.7109692859992","25.0875048966873","23.6206032953047","24.3339299727061","24.7113012893745","25.7100062683855","26.2118919542654","26.0976089887035","","",
"Benin","BEN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6872210795175","14.4125492655237","14.2713487770729","14.6358968752407","13.8092829901334","14.2131235196549","15.6943939715484","16.1156676470993","14.9940988127536","15.5335923417241","14.8232709484433","14.4134995448211","15.3852955479906","","","",
"Burkina Faso","BFA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8661580190309","11.0910164006408","12.6990094553648","11.7528155851399","12.0636543814706","12.7147121462999","11.8912159503216","12.515250219583","12.7204264979693","13.7468354280292","15.626102410335","16.8348181099842","15.522975879471","","",
"Bangladesh","BGD","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.61116027143823","6.69138419067813","6.96521390375867","7.04644841818552","7.13567003946154","7.04330405780911","6.91726266856821","7.65602988282474","7.49811626276927","7.83468474946733","8.68592739166971","9.02456742835849","8.96237578196137","","","",
"Bulgaria","BGR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8331284450966","22.3338246131172","16.9033864541833","15.2137838742054","21.2389649923896","20.0680744809549","17.0254823146209","16.6332101801117","16.1692343423576","17.1791416546139","17.5477830119962","16.7907771603118","16.0044690416016","17.8753587134587","20.6176103921887","20.9391069402489","21.7837058943418","21.7613073255494","22.0600508643792","19.7106314560673","18.0551444498862","17.7675353375929","18.4960462593501","","","","",
